"Host","name","value","type"
"Buffalo","Buffalo",1,"lit"
"Buffalo","Cattle",0.068965517241379,"lit"
"Buffalo","Elephant",0,"lit"
"Buffalo","Giraffe",0.074074074074074,"lit"
"Buffalo","Impala",0.344827586206897,"lit"
"Buffalo","Zebra",0,"lit"
"Cattle","Buffalo",0.068965517241379,"lit"
"Cattle","Cattle",1,"lit"
"Cattle","Elephant",0,"lit"
"Cattle","Giraffe",0.073529411764706,"lit"
"Cattle","Impala",0.131736526946108,"lit"
"Cattle","Zebra",0.0118343195266269,"lit"
"Elephant","Buffalo",0,"lit"
"Elephant","Cattle",0,"lit"
"Elephant","Elephant",1,"lit"
"Elephant","Giraffe",0,"lit"
"Elephant","Impala",0,"lit"
"Elephant","Zebra",0.036363636363636,"lit"
"Giraffe","Buffalo",0.074074074074074,"lit"
"Giraffe","Cattle",0.073529411764706,"lit"
"Giraffe","Elephant",0,"lit"
"Giraffe","Giraffe",1,"lit"
"Giraffe","Impala",0.122448979591837,"lit"
"Giraffe","Zebra",0.03921568627451,"lit"
"Impala","Buffalo",0.344827586206897,"lit"
"Impala","Cattle",0.131736526946108,"lit"
"Impala","Elephant",0,"lit"
"Impala","Giraffe",0.122448979591837,"lit"
"Impala","Impala",1,"lit"
"Impala","Zebra",0,"lit"
"Zebra","Buffalo",0,"lit"
"Zebra","Cattle",0.0118343195266269,"lit"
"Zebra","Elephant",0.036363636363636,"lit"
"Zebra","Giraffe",0.03921568627451,"lit"
"Zebra","Impala",0,"lit"
"Zebra","Zebra",1,"lit"
"Zebra","Zebra",1,"phy"
"Zebra","Giraffe",0.0842691120573987,"phy"
"Zebra","Cattle",0.0842691120539606,"phy"
"Zebra","Buffalo",0.0842691120539606,"phy"
"Zebra","Impala",0.0842691120539606,"phy"
"Zebra","Elephant",0.00000000000245048425995265,"phy"
"Giraffe","Zebra",0.0842691120573987,"phy"
"Giraffe","Giraffe",1,"phy"
"Giraffe","Cattle",0.299708785614554,"phy"
"Giraffe","Buffalo",0.299708785614554,"phy"
"Giraffe","Impala",0.299708785614554,"phy"
"Giraffe","Elephant",0.00000000000567590419109365,"phy"
"Cattle","Zebra",0.0842691120539606,"phy"
"Cattle","Giraffe",0.299708785614554,"phy"
"Cattle","Cattle",1,"phy"
"Cattle","Buffalo",0.466018144026423,"phy"
"Cattle","Impala",0.347051811894714,"phy"
"Cattle","Elephant",0.00000000000345001804902267,"phy"
"Buffalo","Zebra",0.0842691120539606,"phy"
"Buffalo","Giraffe",0.299708785614554,"phy"
"Buffalo","Cattle",0.466018144026423,"phy"
"Buffalo","Buffalo",1,"phy"
"Buffalo","Impala",0.347051811894714,"phy"
"Buffalo","Elephant",0.00000000000345001804902267,"phy"
"Impala","Zebra",0.0842691120539606,"phy"
"Impala","Giraffe",0.299708785614554,"phy"
"Impala","Cattle",0.347051811894714,"phy"
"Impala","Buffalo",0.347051811894714,"phy"
"Impala","Impala",1,"phy"
"Impala","Elephant",0.00000000000345001804902267,"phy"
"Elephant","Zebra",0.00000000000245048425995265,"phy"
"Elephant","Giraffe",0.00000000000567590419109365,"phy"
"Elephant","Cattle",0.00000000000345001804902267,"phy"
"Elephant","Buffalo",0.00000000000345001804902267,"phy"
"Elephant","Impala",0.00000000000345001804902267,"phy"
"Elephant","Elephant",1,"phy"
"Buffalo","Buffalo",1,"met"
"Buffalo","Cattle",0.145,"met"
"Buffalo","Elephant",0,"met"
"Buffalo","Giraffe",0.3612,"met"
"Buffalo","Impala",0.367,"met"
"Buffalo","Zebra",0,"met"
"Cattle","Buffalo",0.145,"met"
"Cattle","Cattle",1,"met"
"Cattle","Elephant",0,"met"
"Cattle","Giraffe",0.09467,"met"
"Cattle","Impala",0.0249,"met"
"Cattle","Zebra",0,"met"
"Elephant","Buffalo",0,"met"
"Elephant","Cattle",0,"met"
"Elephant","Elephant",1,"met"
"Elephant","Giraffe",0,"met"
"Elephant","Impala",0,"met"
"Elephant","Zebra",0,"met"
"Giraffe","Buffalo",0.3612,"met"
"Giraffe","Cattle",0.09467,"met"
"Giraffe","Elephant",0,"met"
"Giraffe","Giraffe",1,"met"
"Giraffe","Impala",0.4683,"met"
"Giraffe","Zebra",0,"met"
"Impala","Buffalo",0.367,"met"
"Impala","Cattle",0.0249,"met"
"Impala","Elephant",0,"met"
"Impala","Giraffe",0.4683,"met"
"Impala","Impala",1,"met"
"Impala","Zebra",0,"met"
"Zebra","Buffalo",0,"met"
"Zebra","Cattle",0,"met"
"Zebra","Elephant",0,"met"
"Zebra","Giraffe",0,"met"
"Zebra","Impala",0,"met"
"Zebra","Zebra",1,"met"
